date,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,PTID,load
2018-01-01 00:00:00,9.2,-5.4,-3.5,55.55,0,,,0,0.27,19.7,11.3,312,1026.5,4.4,9.9,,,0,,Clear,61761,6198
2018-01-01 01:00:00,9.2,-5.6,-3.3,55.97,0,,,0,0.24,20.8,11.6,306,1026.7,0,9.9,,,0,,Clear,61761,6019.7
2018-01-01 02:00:00,9.1,-6,-3.5,55.91,0,,,0,0.2,20.2,12,302,1026.9,0,9.9,,,0,,Clear,61761,5818.4
2018-01-01 03:00:00,8.3,-6.2,-3.5,58,0,,,0,0.17,19.7,10.7,308,1027.3,0,9.9,,,0,,Clear,61761,5687.6
2018-01-01 04:00:00,8.1,-5.6,-4.3,56.1,0,,,0,0.13,,9.7,306,1027.3,0,9.9,,,0,,Clear,61761,5557.5
2018-01-01 05:00:00,8.1,-7.3,-4.2,56.53,0,,,0,0.1,20.8,12.1,300,1027.9,0,9.9,,,0,,Clear,61761,5570
2018-01-01 06:00:00,7.3,-6.4,-4.2,58.67,0,,,0,0.07,,9.3,316,1027.9,0,9.9,,,0,,Clear,61761,5621.5
2018-01-01 07:00:00,7.2,-8.1,-4.2,,0,,,0,0.03,27.7,11.4,298,1028.2,10.5,9.9,,,0,,Clear,61761,5741.3
2018-01-01 08:00:00,7.5,-6.4,-3.1,,0,,,0,0,19.8,,302,1028.3,4.4,9.9,,,0,,Clear,61761,5867.5
2018-01-01 09:00:00,8.7,-5.9,-2.3,,0,,,0,0,28.7,,298,1028.7,10.5,9.9,,,0,,Clear,61761,6040.5
2018-01-01 10:00:00,11.4,-3.2,-1.9,,0,,,0,0,27.8,,316,1029.1,10.5,9.9,,,0,,Clear,61761,6199.7
2018-01-01 11:00:00,12.6,-2.1,-2.6,,0,,,0,0,21.8,,311,1028.7,10.5,9.9,,,0,,Clear,61761,6404.8
2018-01-01 12:00:00,14.7,0.9,-2.7,,0,,,0,0,28.8,12.3,302,1028.2,10.5,9.9,,,0,,Clear,61761,6496.7
2018-01-01 13:00:00,15.8,2.1,-3.7,,0,,,0,0,22.9,12.7,309,1027.5,10.5,9.9,,,0,,Clear,61761,6528.9
2018-01-01 14:00:00,17.6,4.6,-4.1,,0,,,0,0,20.9,12.2,310,1027.1,10.5,9.9,,,0,,Clear,61761,6600.1
