date,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,PTID,load
2020-12-31 01:00:00,44.2,39.8,29.9,56.94,0,,,0,0,,7.8,220,,100,9.9,,,0,,Overcast,61761,4589.13
2020-12-31 02:00:00,44.9,41.3,32,60.26,0,,,0,0,,6.6,198,,100,9.9,,,0,,Overcast,61761,4413.5747
2020-12-31 03:00:00,45.7,43.9,33.6,62.32,0,,,0,0,,3.9,250,,100,9.9,,,0,,Overcast,61761,4289.3276
2020-12-31 04:00:00,47.1,42.6,37.8,70.05,0,,,0,0,,9.5,216,,100,9.9,,,0,,Overcast,61761,4250.5454
2020-12-31 05:00:00,47.4,44.1,42,81.47,0.01,,,0,0,21.9,7,230,,100,8,,,0,,"Rain, Overcast",61761,4280.15
2020-12-31 06:00:00,48.1,43.9,43.1,82.63,0.02,,,0,0,18.8,9.4,248,,100,7.8,,,0,,"Rain, Overcast",61761,4486.824
2020-12-31 07:00:00,47,43.8,43.8,88.74,0.08,,,0,0,,6.5,260,,100,4.5,,,0,,"Rain, Overcast",61761,4832.921
2020-12-31 08:00:00,45.7,42.2,43.3,91.37,0.07,,,0,0,,6.5,265,,100,2.9,7,0,0,,"Rain, Overcast",61761,5116.958
2020-12-31 09:00:00,45.7,43,42,86.68,0.08,,,0,0,,5.2,257,,100,3.5,10,0,0,,"Rain, Overcast",61761,5361.629
2020-12-31 10:00:00,45.4,41.9,39.8,80.59,0.07,,,0,0,,6.5,267,,100,6.3,36,0.1,0,,"Rain, Overcast",61761,5538.414
2020-12-31 11:00:00,44.5,40.9,40.5,85.72,0.05,,,0,0,,6.4,306,,100,5.2,70,0.3,1,,"Rain, Overcast",61761,5679.792
2020-12-31 12:00:00,44.7,41.4,37.7,76.39,0.01,,,0,0,,5.9,304,1019.6,100,9.9,137,0.5,1,,"Rain, Overcast",61761,5694.074
2020-12-31 13:00:00,44.7,39.1,33.8,65.48,0,,,0,0,19.7,10.8,298,1019.6,93.1,9.9,156,0.6,2,,Overcast,61761,5702.7085
2020-12-31 14:00:00,43.8,36.7,32.2,63.54,0,,,0,0,23,14.9,323,1021.3,90.8,9.9,160,0.6,2,,Overcast,61761,5633.817
